Description,GroundTruth,Ratings,Review Date,Review Title,Site
I visit this place with my friends. It was very nice restaurant with  special italian food and the service exellent.,positive,5,1-Mar-20,The Best Italian Food in Larissa,
"It deserves every star given in Trip Advisor. Delicious plates in a tasty place, served smartly by gently people. Definitely the prime choice for a visitor in Larisa.",positive,5,9-Jan-20,Excellent ,
"Great good and value for money. A must visit in larissa also for coffe and tiramisu dessert. Have been there many times, very crowded on sundays.",positive,5,20-Dec-19,Great good!,
"We went with friends. We took seats in the garden. Nice setting, comfortable chairs, polite staff, reasonable prices. 
We had penne con pollo, papardelle con filettini di vitello and bella casa salads.  Everything was delicious. Strongly Recommended!",positive,5,7-Jun-19,"Delicious food, excellent service",
Beautiful and cosy place ! Delicious and big portions ! Congratulations ! Polite and smiling staff ! See you soon ...,positive,5,6-Mar-19,Excellent !,
"When we arrived were are group of 4 with reservation.  They had prepared as reserved seats.  Ambiance was amazing.  Staff are professional as well.  The food was πολύ ορεια.. (very good in Greek)

Food - 5/5
Ambiance - 5/5 (romantic place)
Staff - 5/5 helpful...More",positive,5,14-Feb-19,A night at Nonna Rosa,
"We went here with my husband and daugther for christmas lunch! First of all they had no issue with the stroller as other restaurants have in town. The staff was very nice, friendly and helpful. We had margharita pizza,chicken and pligouri and green salad with...More",positive,5,28-Dec-18,Great pizza and chicken filet!,
"Really good place to have dinner..... Try the local 🥩
Very polite service and very beautiful decorated bar... With nice music and really good wine 🍷",positive,5,12-Dec-18,Best food in town,
"I had a pretty uninspiring meal at Nonna Rossa:
The staff were friendly but didn’t seem interested in waiting on customers.  Both my salad and tenderloin were drowned in a sickly sweet balsamic glaze.  The mille feuille was enormous but had chunky pastry and piles...More",negative,2,8-Nov-18,A very poor meal in an over-rated restaurant,
"It used to be very good. Last time, the main dishes were off. This little something was missing. The cook was probably tired or pissed-off about spending August in the city (?). On the contrary, salas and appetizers were delicious, as always.",negative,3,5-Sep-18,Italian style restaurant,
Excellent taste sited to the most beautifull place of the city. Don't fogret to taste it's delicious sweets.,positive,5,29-Aug-18,A delicious itallian Cuisine,
"We had Pizza, wonderful salad and bolognaise pasta. Everything was excellent as well as the service.",positive,5,24-Aug-18,Very good,
Went with family friends... quite good food but the service was not what you expected  for that kind of restaurant...Maybe they should learn the rules of serving...,negative,2,5-Aug-18,Bad service,
"Excellent food, carefully prepared, in appearance and taste as well.Very friendly service, and reasonable pricing. A must if you visit Larissa.",positive,5,3-May-18,Very nice place,
"Nona rossa... perfect place for nights full of life, nice music and excellent kitchen! Young people and helpfull staff. The best cocktail I drink every time is Aperol sprizz! Try Foccazia or Tagliatta as main.  Finish with Chocoball and the surprise sauce... yummy!",positive,5,4-Mar-18,An ideal place for nighttime!,
"Wonderful environment (inside and outside), amazing music, friendly and helpful staff and of course great pizza!",positive,5,3-Mar-18,Coffee bar restaurant,
"Really nice place, I loved the way waiters explained what was inside and how was made each dish. It’s a taste experience. If you want to eat something different once in a while that’s the place you are looking for. Totaly recommended.",positive,5,24-Feb-18,Nice place!,
"I know that this restaurant attracts a lot of people, but for me it is overrated. The service is quite slow at times, mainly because during summertime the restaurant occupies a huge area outside. Despite their best efforts, the waiters cannot keep up. 
Some dishes...More",negative,2,22-Jan-18,Overrated,
"Having read the other favourable reviews on TripAdvisor, hubby and I decided to have our date night at Nona Rossa ... at 9pm on a Saturday in December ... with no prior booking.  So we were very impressed when the maitre d' found us a...More",positive,5,5-Jan-18,"Excellent, from start to finish !",
